Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone XS,,iOS,,256 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kalutara-1163
Used,Apple,iPhone 15 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1500
Brand New,Apple,iPhone 17 Pro Max,512GB ORGINALCONVERT,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-orginalconvert-brand-new-for-sale-colombo-1
Used,Apple,iPhone XS,,iOS,,256 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kalutara-1163
Used,Apple,iPhone 12 Pro,128GB,iOS,4 GB,128 GB,Triple,Above 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-badulla-45
Brand New,Apple,iPhone 16,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-974
Brand New,Apple,iPhone 15,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-970
Brand New,Apple,iPhone 17 Pro,256GB,iOS,,256 GB,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-colombo-798
Used,Apple,iPhone 16,,iOS,6 GB,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-used-for-sale-badulla-1
Used,Apple,iPhone SE 2,Red,iOS,3 GB,64 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-se-2-red-used-for-sale-kurunegala-31
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kurunegala-689
Used,Apple,iPhone 7,iPhone 7,iOS,4 GB,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-colombo-13777
Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-gampaha-512
Used,Apple,iPhone 13,128GB,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-nuwara-eliya-26
Used,Apple,iPhone 13 mini,128GB,iOS,6 GB,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-mini-128gb-used-for-sale-gampaha-254
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-216
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-215
Used,Apple,iPhone 12,Apple,iOS,4 GB,128 GB,Dual,5.1 to 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-gampaha-1736
Used,Apple,iPhone XS Max,,iOS,,256 GB,,,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-gampaha-2057
Used,Apple,iPhone 13 mini,256GB,iOS,6 GB,256 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-mini-256gb-used-for-sale-gampaha-46
Used,Apple,iPhone 12,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9730
Used,Apple,iPhone 16 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-214
